<3	<3 🫶
卫生	卫生 🪥
卫生工作者	卫生工作者 🧑‍⚕️
卫生纸	卫生纸 🧻
卫生间	卫生间 🚹 🚺 🚻 🚾
印度	印度 🇮🇳
印度尼西亚	印度尼西亚 🇮🇩
印度教	印度教 🪷 🛕 🕉
印度教寺庙	印度教寺庙 🛕
印记	印记 🐾
印象深刻	印象深刻 😳
危地马拉	危地马拉 🇬🇹
危险	危险 ⚡ 💣
即将推出	即将推出 🔜
卷	卷 🥐
卷发	卷发 👨‍🦱 👩‍🦱 🧑‍🦱
卷心菜	卷心菜 🥬 🥦
卷曲	卷曲 📃 ➰ ➿
卷曲的环	卷曲的环 ➰
卷烟	卷烟 🚬
卷纸	卷纸 🧻
卷起	卷起 🗞
卷起的报纸	卷起的报纸 🗞
卷轴	卷轴 📜
卷饼	卷饼 🌯
厄瓜多尔	厄瓜多尔 🇪🇨
厄立特里亚	厄立特里亚 🇪🇷
压力	压力 😅 😟 😧
压垮	压垮 💔
压缩	压缩 🗜
厕所	厕所 🚽 🪠 🚹 🚺 🚻 🚾
原子	原子 ⚛
原子符号	原子符号 ⚛
原木	原木 🪵
原谅	原谅 🙇 🙇‍♂️ 🙇‍♀️
原驼	原驼 🦙
厨师	厨师 🧑‍🍳 👨‍🍳 👩‍🍳 🔪
厨房	厨房 🔪
去	去 💨
叉	叉 ❌ ❎
叉子	叉子 🍽 🍴
叉骨	叉骨 🦴
及格	及格 🈴
友谊	友谊 🫂
双	双 👯 👯‍♂️ 👯‍♀️ ⏩ ⏫ ⏸ ‼
双击	双击 ⏪ ⏬
双卷曲环	双卷曲环 ➿
双子座	双子座 ♊
双峰驼	双峰驼 🐫
双峰骆驼	双峰骆驼 🐫
双性恋	双性恋 🏳️‍🌈
双感叹号	双感叹号 ‼
双手	双手 🙌
双手合十	双手合十 🙏
双耳瓶	双耳瓶 🏺
双胞胎	双胞胎 👯 👯‍♂️ 👯‍♀️ 🧑‍🤝‍🧑 👭 👫 👬 ♊
双腿	双腿 🧘 🧘‍♂️ 🧘‍♀️
双重	双重 ➿
双驼峰	双驼峰 🐫
双鱼座	双鱼座 🐟 ♓
反向	反向 ◀ ⏪
反向按钮	反向按钮 ◀
反响	反响 🪃
反射	反射 🪞
反射器	反射器 🪞
反弹	反弹 🪃
反手	反手 🤚 👈 👉 👆 👇
反手食指向上	反手食指向上 👆
反手食指指向右边	反手食指指向右边 👉
反手食指指向左边	反手食指指向左边 👈
反手食指朝下	反手食指朝下 👇
发件箱	发件箱 📤
发件箱托盘	发件箱托盘 📤
发光	发光 🌟
发动机	发动机 🚒 🛵
发射	发射 🚀
发廊	发廊 💇‍♂️
发明	发明 💭
发明家	发明家 🧑‍💻 👨‍💻 👩‍💻
发烧	发烧 🤧 🥵 🦟
发热	发热 🥵
发球座	发球座 🏌 🏌️‍♂️ 🏌️‍♀️
发票	发票 🧾
发签	发签 🪮
发送	发送 📨 📩
取回	取回 💁 💁‍♂️ 💁‍♀️
取消	取消 ✖ ❌
受伤	受伤 🤕 🩸 🩼
受压迫	受压迫 🙎 🙎‍♂️ 🙎‍♀️
变化	变化 🪸 🚼
变形虫	变形虫 🦠
变性人	变性人 ⚧
叙利亚	叙利亚 🇸🇾
口红	口红 👄 🫦 💄
古典	古典 🏛
古典建筑	古典建筑 🏛
古巴	古巴 🇨🇺
古怪	古怪 😜
古板	古板 🧐
叫车	叫车 🚖
召唤	召唤 🧙 🧙‍♂️ 🧙‍♀️
叮咬	叮咬 🦟
叮当响	叮当响 🥂
可乐达	可乐达 🍍
可怕	可怕 😝 😦 😧 😢 👹 🧟 🧟‍♂️ 🧟‍♀️
可怕的	可怕的 👻
可接受	可接受 🉑
可接受的	可接受的 🉑
可爱	可爱 🩷 🩵 🐶
可疑	可疑 😏 🫤
可访问性	可访问性 🦻 🧏 🧏‍♂️ 🧏‍♀️ 👩‍🦯 👩‍🦯‍➡️ 👨‍🦼 👨‍🦼‍➡️ 🦮 🐕‍🦺
台式机	台式机 🖥
台式电脑	台式电脑 🖥
台湾	台湾 🇹🇼
台球	台球 🎱
台阶	台阶 🪜
台风	台风 🌀
史诗	史诗 😜 😯 😱
右	右 🫱 👉 🔎 📈 ➡ ↩ ↪ ⤴ ▶ ⏯
右上	右上 ↗
右上箭头	右上箭头 ↗
右下	右下 ↘
右下箭头	右下箭头 ↘
右愤怒泡泡	右愤怒泡泡 🗯
右拳	右拳 🤜
右指	右指 🔎
右箭头	右箭头 ➡
叶子	叶子 🐑 🌿 🍀 🍃 🔰
叹息	叹息 😮‍💨
吃	吃 😋 🍔 🍽 🍴 🥄
吃得过多	吃得过多 🫃 🫄
吃饭	吃饭 🥢
吃饱	吃饱 🫄
合法	合法 👌
吉他	吉他 🎸
吉尔吉斯斯坦	吉尔吉斯斯坦 🇰🇬
吉布提	吉布提 🇩🇯
同性恋	同性恋 🌈 🏳️‍🌈
同情	同情 😮
同意	同意 💯 👊
名次	名次 🥇 🥈 🥉
后面	后面 ⛅ 🌤 🌥
吐司	吐司 🍞
吐舌头眨眼	吐舌头眨眼 😜
向上	向上 🫳 👆 ☝ 👍 🤲 🧗‍♀️ 🍳 🧣 📄 💹 📈 ⬆ 🔝 🔼 ⏫ 🆙 🔺
向上按钮	向上按钮 🔼 🆙
向上箭头	向上箭头 ⬆
向下	向下 🫳 👇 📩 📉 ⬇ ⤵ 🔽 ⏬ 🔻
向下按钮	向下按钮 🔽
向下箭头	向下箭头 ⬇
向右	向右 🫱 🫸 🤜 ⤵
向右向上弯曲的箭头	向右向上弯曲的箭头 ⤴
向右向下弯曲的箭头	向右向下弯曲的箭头 ⤵
向右奔跑的人	向右奔跑的人 🏃‍➡️
向右手	向右手 🫱
向右推手	向右推手 🫸
向右箭头向左弯曲	向右箭头向左弯曲 ↩
向右行走的人	向右行走的人 🚶‍➡️
向左	向左 🫲 🫷 🤛
向日葵	向日葵 🌻
君主	君主 🫅
否	否 📵
含泪微笑的脸	含泪微笑的脸 🥲
听	听 🙉 👂
听力障碍	听力障碍 🦻
听见	听见 🧏 🧏‍♂️ 🧏‍♀️
听觉	听觉 👂
听诊器	听诊器 🩺
启示录	启示录 🧟‍♂️ 🧟‍♀️
吸力	吸力 🪠
吸引力	吸引力 🧲
吸收	吸收 🧽
吸气	吸气 🫁
吸烟	吸烟 😮‍💨 🚬 🚫 🚭
吸管	吸管 🥤 🧃
吸血鬼	吸血鬼 🧛 🧛‍♂️ 🧛‍♀️ 🦇 ⚰
吹	吹 😘 😮‍💨 🤯 🍃 🌬
吹口哨	吹口哨 😮‍💨
吹气	吹气 😮‍💨
吹风	吹风 💈
吻	吻 😽 💋 💏 👨‍❤️‍💋‍👨 👩‍❤️‍💋‍👩 💑 👩‍❤️‍👨 👨‍❤️‍👨 👩‍❤️‍👩
吻痕	吻痕 💋
呃	呃 😑 😒 🙄 😰 🤌
告别	告别 🫂
告诉	告诉 🫴
呕吐	呕吐 🤢 🤮
周年纪念	周年纪念 💝 💞 💕 💏 👩‍❤️‍💋‍👨 👨‍❤️‍💋‍👨 👩‍❤️‍💋‍👩 💑 👩‍❤️‍👨 👨‍❤️‍👨 👩‍❤️‍👩 💐
周期	周期 🚴 🚴‍♂️ 🚴‍♀️ 🚵 🚵‍♂️ 🚵‍♀️ 🚲
周末	周末 👕 👖
味道	味道 😝 🧂
呵呵	呵呵 🤣 😂 🙃
呻吟	呻吟 😮‍💨
呼叫	呼叫 😥 📲
呼吸	呼吸 🫁
呼唤	呼唤 🤙
呼气	呼气 😮‍💨 🫁
咀嚼	咀嚼 😱
咆哮	咆哮 🦁 🐻
和平	和平 ✌ 🧘 🧘‍♂️ 🧘‍♀️ 🕊 🪷 ☮
和平象征	和平象征 ☮
和服	和服 👘
咒语	咒语 🧙 🧙‍♂️ 🧙‍♀️
咒骂	咒骂 🤬
咕噜	咕噜 👀
咖啡	咖啡 ☕
咖啡因	咖啡因 ☕
咖啡馆	咖啡馆 ☕
咖喱	咖喱 🍛
咖喱饭	咖喱饭 🍛
咧嘴笑	咧嘴笑 😀 😃 😄 😁 😆 😅 🤩 😒 😬 😺 😸
咧嘴笑的猫	咧嘴笑的猫 😺 😸
咩咩	咩咩 🐑
咬	咬 🫦
咬人	咬人 🫦
咬嘴唇	咬嘴唇 🫦
咯咯笑	咯咯笑 🤭 😒
咸的	咸的 🧂
品尝	品尝 😋
品尝食物的脸	品尝食物的脸 😋
品脱	品脱 🍺
哇	哇 🤩 😘 😒 🫨 😮 😳 😦 😧 😱 👩‍❤️‍💋‍👨 👨‍❤️‍💋‍👨
哇哦	哇哦 😵‍💫 😯
哇喔	哇喔 🎉 🎊
哈哈	哈哈 😆 🤣 😂 🫠
哈哈哈	哈哈哈 😆 😒
哈姆萨	哈姆萨 🪬
哈密​​瓜	哈密​​瓜 🍈
哈萨克斯坦	哈萨克斯坦 🇰🇿
响	响 🔊
响亮	响亮 📢
哎呀	哎呀 🤭 😰 😓 🙊 🫗
哎哟	哎哟 🤕 🪼
哞哞	哞哞 🐮 🐄
哟	哟 👋
哥伦比亚	哥伦比亚 🇨🇴
哥斯达黎加	哥斯达黎加 🇨🇷
哦	哦 😐 😑 😒 🙀 🤦 🤦‍♂️ 🤦‍♀️
哪里	哪里 🏠 🏡
哭	哭 🤣 😂 😒 😪 🥹 😢 😭 😩 😿
哭泣	哭泣 🤣 😂 😪 🥹 😢 😭 😩 😿
哭的猫	哭的猫 😿
哭的脸	哭的脸 😢
哺乳	哺乳 🤱
哺乳动物	哺乳动物 🫎 🫏
唱歌	唱歌 🎤
唱片	唱片 🎥
唷	唷 😥
商业	商业 👩‍💼 🕴
商人	商人 🧑‍🔧 👨‍🔧 👩‍🔧 👨‍💼
商务	商务 🧑‍💼 🈺
商店	商店 🫙 🏪 🏬
商标	商标 ™
啊	啊 🥹
啜饮	啜饮 👅
啤酒	啤酒 🫚 🍺 🍻
啤酒杯	啤酒杯 🍺
啤酒杯碰撞声	啤酒杯碰撞声 🍻
啪	啪 🫰
喀麦隆	喀麦隆 🇨🇲
喂养	喂养 🤱 👩‍🍼 👨‍🍼 🧑‍🍼
喂养婴儿的人	喂养婴儿的人 🧑‍🍼
喂食	喂食 🍴
喇叭	喇叭 🥳 📢 📯 🎺
喘息	喘息 🫢
喘气	喘气 😮‍💨
喙	喙 🐦‍⬛ 🧢
喙帽	喙帽 🧢
喜庆	喜庆 💃 🕺
喜悦	喜悦 🤣 😂 🥲 🥹 😹
喜欢	喜欢 🩷 🩵 👍
喜爱	喜爱 💞
喝	喝 🧉
喝酒	喝酒 🍻 🥂
喵呜	喵呜 🐈‍⬛
喷发	喷发 🌋
喷射	喷射 💦
喷气式飞机	喷气式飞机 ✈
喷水	喷水 🐳
喷水鲸鱼	喷水鲸鱼 🐳
喷泉	喷泉 ⛲
嗨	嗨 👋
嗯	嗯 😋 🤔 🤨 😐 😑 🫥 😒 😕 🫤 💗 🤌
嘎嘎叫	嘎嘎叫 🐦‍⬛
嘘	嘘 🤫 👻 🙉
嘘声的脸	嘘声的脸 🤫
嘴	嘴 🤭 🫢 😶 😒 😰 👄
嘴上有符号的脸	嘴上有符号的脸 🤬
嘴唇	嘴唇 💋 👄 🫦
嘴巴	嘴巴 😃 😄 😆 😅 🤑 🤐 🥴 🫤 😮 😦 🤬 😺 👄
嘴巴有钱的脸	嘴巴有钱的脸 🤑
嘿	嘿 👋
器官	器官 🫀 🫁
噼啪	噼啪 🪭
四	四 🍀 🕓 🕟
四分之一	四分之一 🌓 🌗 🌛 🌜
四叶	四叶 🍀
四叶草	四叶草 🍀
四点	四点 🕓
四点半	四点半 🕟
回	回 🥹
回形针	回形针 📎 🖇
回收	回收 ♻
回收利用	回收利用 ♻
回收标志	回收标志 ♻
回旋镖	回旋镖 🪃
团伙	团伙 🚲
团子	团子 🍡
团结	团结 ✊
园丁	园丁 🧑‍🌾 👨‍🌾 👩‍🌾
困了	困了 😪 🫩
困倦	困倦 😩 🥱 💤
困惑	困惑 😵‍💫 😕 🫤 😖 🤦 🤦‍♂️ 🤦‍♀️
困惑的脸	困惑的脸 😕 😖
困扰	困扰 👻
困难	困难 ☯
围巾	围巾 🧣
固体	固体 🪨
固执	固执 🫏
国家	国家 🏞 🏠
国家公园	国家公园 🏞
国旗	国旗 🇦🇨 🇦🇩 🇦🇪 🇦🇫 🇦🇬 🇦🇮 🇦🇱 🇦🇲 🇦🇴 🇦🇶 🇦🇷 🇦🇸 🇦🇹 🇦🇺 🇦🇼 🇦🇽 🇦🇿 🇧🇦 🇧🇧 🇧🇩 🇧🇪 🇧🇫 🇧🇬 🇧🇭 🇧🇮 🇧🇯 🇧🇱 🇧🇲 🇧🇳 🇧🇴 🇧🇶 🇧🇷 🇧🇸 🇧🇹 🇧🇻 🇧🇼 🇧🇾 🇧🇿 🇨🇦 🇨🇨 🇨🇩 🇨🇫 🇨🇬 🇨🇭 🇨🇮 🇨🇰 🇨🇱 🇨🇲 🇨🇳 🇨🇴 🇨🇵 🇨🇶 🇨🇷 🇨🇺 🇨🇻 🇨🇼 🇨🇽 🇨🇾 🇨🇿 🇩🇪 🇩🇬 🇩🇯 🇩🇰 🇩🇲 🇩🇴 🇩🇿 🇪🇦 🇪🇨 🇪🇪 🇪🇬 🇪🇭 🇪🇷 🇪🇸 🇪🇹 🇪🇺 🇫🇮 🇫🇯 🇫🇰 🇫🇲 🇫🇴 🇫🇷 🇬🇦 🇬🇧 🇬🇩 🇬🇪 🇬🇫 🇬🇬 🇬🇭 🇬🇮 🇬🇱 🇬🇲 🇬🇳 🇬🇵 🇬🇶 🇬🇷 🇬🇸 🇬🇹 🇬🇺 🇬🇼 🇬🇾 🇭🇰 🇭🇲 🇭🇳 🇭🇷 🇭🇹 🇭🇺 🇮🇨 🇮🇩 🇮🇪 🇮🇱 🇮🇲 🇮🇳 🇮🇴 🇮🇶 🇮🇷 🇮🇸 🇮🇹 🇯🇪 🇯🇲 🇯🇴 🇯🇵 🇰🇪 🇰🇬 🇰🇭 🇰🇮 🇰🇲 🇰🇳 🇰🇵 🇰🇷 🇰🇼 🇰🇾 🇰🇿 🇱🇦 🇱🇧 🇱🇨 🇱🇮 🇱🇰 🇱🇷 🇱🇸 🇱🇹 🇱🇺 🇱🇻 🇱🇾 🇲🇦 🇲🇨 🇲🇩 🇲🇪 🇲🇫 🇲🇬 🇲🇭 🇲🇰 🇲🇱 🇲🇲 🇲🇳 🇲🇴 🇲🇵 🇲🇶 🇲🇷 🇲🇸 🇲🇹 🇲🇺 🇲🇻 🇲🇼 🇲🇽 🇲🇾 🇲🇿 🇳🇦 🇳🇨 🇳🇪 🇳🇫 🇳🇬 🇳🇮 🇳🇱 🇳🇴 🇳🇵 🇳🇷 🇳🇺 🇳🇿 🇴🇲 🇵🇦 🇵🇪 🇵🇫 🇵🇬 🇵🇭 🇵🇰 🇵🇱 🇵🇲 🇵🇳 🇵🇷 🇵🇸 🇵🇹 🇵🇼 🇵🇾 🇶🇦 🇷🇴 🇷🇸 🇷🇺 🇷🇼 🇸🇦 🇸🇧 🇸🇨 🇸🇩 🇸🇪 🇸🇬 🇸🇭 🇸🇮 🇸🇯 🇸🇰 🇸🇱 🇸🇲 🇸🇳 🇸🇴 🇸🇷 🇸🇸 🇸🇹 🇸🇻 🇸🇽 🇸🇾 🇸🇿 🇹🇦 🇹🇨 🇹🇩 🇹🇫 🇹🇬 🇹🇭 🇹🇯 🇹🇰 🇹🇱 🇹🇲 🇹🇳 🇹🇴 🇹🇷 🇹🇹 🇹🇻 🇹🇼 🇹🇿 🇺🇦 🇺🇬 🇺🇲 🇺🇳 🇺🇸 🇺🇾 🇺🇿 🇻🇦 🇻🇨 🇻🇪 🇻🇬 🇻🇮 🇻🇳 🇻🇺 🇼🇫 🇼🇸 🇽🇰 🇾🇪 🇾🇹 🇿🇦 🇿🇲 🇿🇼 🏴󠁧󠁢󠁥󠁮󠁧󠁿 🏴󠁧󠁢󠁳󠁣󠁴󠁿 🏴󠁧󠁢󠁷󠁬󠁳󠁿
国王	国王 🤴 👑
国际象棋	国际象棋 ♟
国际象棋棋子	国际象棋棋子 ♟
图书	图书 📚
图书馆	图书馆 📖 📗 📘 📙 📚
图形	图形 💹 📈 📊
图片	图片 🖼
图瓦卢	图瓦卢 🇹🇻
图表	图表 💹 📈 📉 📊
图表下降	图表下降 📉
图表增加	图表增加 📈
图表随日元上涨	图表随日元上涨 💹
图钉	图钉 📌 📍
圆圈	圆圈 🛞 ⏺ ⓜ 🟡
圆屋	圆屋 🛖
圆形	圆形 📍 ⭕ 🔴 🟠 🟢 🔵 🟣 🟤 ⚫ ⚪
圆形图钉	圆形图钉 📍
圆滑	圆滑 😏
圆点	圆点 💠
圆珠笔	圆珠笔 🖊
圈套	圈套 🪤
土库曼斯坦	土库曼斯坦 🇹🇲
土星	土星 🪐
土耳其	土耳其 🇹🇷
土耳其浴室	土耳其浴室 🧖
土豆	土豆 🥔 🍠
圣卢西亚	圣卢西亚 🇱🇨
圣基茨和尼维斯	圣基茨和尼维斯 🇰🇳
圣多美和普林西比	圣多美和普林西比 🇸🇹
圣巴泰勒米	圣巴泰勒米 🇧🇱
圣文森特和格林纳丁斯	圣文森特和格林纳丁斯 🇻🇨
圣皮埃尔和密克隆群岛	圣皮埃尔和密克隆群岛 🇵🇲
圣诞夫人	圣诞夫人 🤶
圣诞岛	圣诞岛 🇨🇽
圣诞树	圣诞树 🎄
圣诞老人	圣诞老人 🎅 🤶 🧑‍🎄
圣诞节	圣诞节 🎅 🤶 🧑‍🎄 🌲 🎁
圣赫勒拿岛	圣赫勒拿岛 🇸🇭
圣马丁	圣马丁 🇲🇫
圣马丁岛	圣马丁岛 🇸🇽
圣马力诺	圣马力诺 🇸🇲
在	在 🫵 🐜 🥧 🌆 🌉
在哪里	在哪里 🕊
圭亚那	圭亚那 🇬🇾
地上的伞	地上的伞 ⛱
地图	地图 🗺 🗾 📍
地址	地址 📢
地板	地板 🤣
地点	地点 🛐
地球	地球 🌍 🌎 🌏 🌐
地球与经线	地球与经线 🌐
地球仪显示美洲	地球仪显示美洲 🌎
地铁	地铁 🚇
地震	地震 🫨
地面	地面 ⛱
场地	场地 🏑
场景	场景 ⏭ ⏮
场记	场记 🎬
场记板	场记板 🎬
坎达	坎达 🪯
坏	坏 👎 🦹 🦹‍♂️ 🦹‍♀️
坐	坐 🪑
坐在手动轮椅上面向右侧的女人	坐在手动轮椅上面向右侧的女人 👩‍🦽‍➡️
坐在手动轮椅上面向右侧的男人	坐在手动轮椅上面向右侧的男人 👨‍🦽‍➡️
坐在电动轮椅上的男人	坐在电动轮椅上的男人 👨‍🦼
坐在电动轮椅上面向右侧的女人	坐在电动轮椅上面向右侧的女人 👩‍🦼‍➡️
坐在电动轮椅上面向右侧的男人	坐在电动轮椅上面向右侧的男人 👨‍🦼‍➡️
坐手动轮椅的人面向右侧	坐手动轮椅的人面向右侧 🧑‍🦽‍➡️
坐机动轮椅的女人	坐机动轮椅的女人 👩‍🦼
坐电动轮椅的人	坐电动轮椅的人 🧑‍🦼
坐电动轮椅的人面向右侧	坐电动轮椅的人面向右侧 🧑‍🦼‍➡️
坚持	坚持 😣
坚持不懈	坚持不懈 😣
坚果	坚果 🥜
坚毅的面孔	坚毅的面孔 😣
坚韧	坚韧 🪨
坟墓	坟墓 🪦
坠落	坠落 🌠
坦桑尼亚	坦桑尼亚 🇹🇿
垂头丧气	垂头丧气 😓
垂死	垂死 🥵 🥀
垂直	垂直 🙂‍↕️ 🚦 🔃 ⏸
垂直交通信号灯	垂直交通信号灯 🚦
垃圾	垃圾 🗑 🚮
垃圾桶	垃圾桶 🚮
垃圾桶标志	垃圾桶标志 🚮
垃圾箱	垃圾箱 🚮
型	型 🅾
垒球	垒球 🥎
埃及	埃及 🇪🇬
埃塞俄比亚	埃塞俄比亚 🇪🇹
埃斯库拉庇乌斯	埃斯库拉庇乌斯 ⚕
埋	埋 🪏
城堡	城堡 🏯 🏰
城市	城市 🏢 🏙 🌆
城市景观	城市景观 🏙 🌆
培养	培养 🧫
培养皿	培养皿 🧫
培根	培根 🐷 🐖 🥓
培育	培育 🪴
基因	基因 🧬
基数间	基数间 ↗ ↘ ↙ ↖
基本方向	基本方向 ⬆ ➡ ⬇ ⬅
基督	基督 ✝
基督教	基督教 ⛪ ✝ ☦
基里巴斯	基里巴斯 🇰🇮
堆	堆 💩
塔	塔 🗼
塔什	塔什 🥸
塔吉克斯坦	塔吉克斯坦 🇹🇯
塔达	塔达 🎉
塔马利	塔马利 🫔
塞内加尔	塞内加尔 🇸🇳
塞壬	塞壬 🧜‍♂️
塞尔维亚	塞尔维亚 🇷🇸
塞拉利昂	塞拉利昂 🇸🇱
塞浦路斯	塞浦路斯 🇨🇾
塞舌尔	塞舌尔 🇸🇨
填充玩具	填充玩具 🧸
墓地	墓地 🪦
墓石	墓石 🪦
墓碑	墓碑 🪦
墙	墙 🧱
增加	增加 💹 📈
增长	增长 💹 📈
墨水	墨水 🔏 🫟
墨西哥	墨西哥 🌮 🌯 🫔 🇲🇽
墨西哥卷饼	墨西哥卷饼 🌯
壁橱	壁橱 🚪 🚾
壁炉	壁炉 💟
壁炉架	壁炉架 🕰
壁炉钟	壁炉钟 🕰
士兵	士兵 🥷 🪖
声音	声音 👂 🪁 🔇 🔈 🔉 🔊 📢 📣 🔔 🔕 🎵 🎶 🎤 🎧
处女座	处女座 👧 ♍
处理	处理 🤹 🤹‍♂️ 🤹‍♀️
备忘录	备忘录 📝
复兴	复兴 🐦‍🔥
复杂	复杂 😥
复选标记	复选标记 ✅ ✔
复选标记按钮	复选标记按钮 ✅
夏季	夏季 🍺 🚤
外卖	外卖 🥡
外卖盒	外卖盒 🥡
外发	外发 📩
外套	外套 🥼 🧥
外星人	外星人 👽 👾 🛸 🔭 📡
外星怪物	外星怪物 👾
外星生物	外星生物 👽 👾
多云	多云 ⛅
多云有雨	多云有雨 🌧
多任务	多任务 🤹 🤹‍♂️ 🤹‍♀️
多哥	多哥 🇹🇬
多孔	多孔 🧽
多少钱	多少钱 🐱
多彩	多彩 🎨
多米尼加	多米尼加 🇩🇲
多米尼加共和国	多米尼加共和国 🇩🇴
多雾路段	多雾路段 🌫
夜晚	夜晚 😙 😴 🥱 💖 💤 🛌 🌃 🌟 🌠
夜晚的桥梁	夜晚的桥梁 🌉
大	大 😃 🤪 😒 🥺 🐯 🐅 🐆 ⭕ ⬛ ⬜ 🔶 🔷
大便	大便 💩
大写	大写 🔠
大卫	大卫 ✡
大卫之星	大卫之星 ✡
大哭	大哭 😭
大型	大型 🦣 🦤
大声	大声 😭
大声哭泣的脸	大声哭泣的脸 😭
大拇指朝下	大拇指朝下 👎
大桶	大桶 🪣
大楼	大楼 🏪
大橙色钻石	大橙色钻石 🔶
大步走	大步走 🚶‍♂️ 🚶‍♀️ 🚶‍♀️‍➡️ 🚶‍♂️‍➡️
大海	大海 🧜‍♀️
大片云层后面有太阳	大片云层后面有太阳 🌥
大猩猩	大猩猩 🦍
大眼睛笑脸	大眼睛笑脸 😃
大笑	大笑 😄 😆 🤣 😂 🫠 💀 😹
大脑	大脑 🧠
大自然	大自然 🗻
大蒜	大蒜 🧄
大蓝钻石	大蓝钻石 🔷
大豆	大豆 🫛
大象	大象 🐘
大饼	大饼 🫓
大黄蜂	大黄蜂 🐝
天	天 🧖 🏷
天上的	天上的 🪽
天使	天使 😇 👼 🪽
天使般的	天使般的 😇
天哪	天哪 😳
天啊	天啊 😝 🫢 😑 🫨 😵‍💫 😮 😯 😲 🙈 👀 🙆 🙆‍♂️ 🙆‍♀️ 🤦 🤦‍♂️ 🤦‍♀️
天妇罗	天妇罗 🍤
天平	天平 🧑‍⚖️ 👨‍⚖️ 👩‍⚖️
天平秤	天平秤 ⚖
天房	天房 🕋
天才	天才 🤓
天文学	天文学 ⭐
天气	天气 🌡 ☀ 🌞 ☁ ⛅ 🌤 🌥 🌦 🌧 🌨 🌩 🌪 🌫 🌀 🌈 ☔ ❄ 💧
天然	天然 🫚
天然气	天然气 ⛽
天真	天真 😇
天秤座	天秤座 ⚖ ♎
天空	天空 🩵
天线	天线 🚡 📡 📶
天线条	天线条 📶
天蝎座	天蝎座 🦂 ♏
天赋	天赋 💃 🕺
天鹅	天鹅 🦢
太极	太极 ☯
太空	太空 👽 🧑‍🚀 👨‍🚀 👩‍🚀 🌔 🌕 🌖 🌘 🌠 ☄
太阳	太阳 🌻 🌄 🌅 🌆 🌇 ☀ 🌞 ⛅ 🌤 🌥 🌦 ⛱
太阳镜	太阳镜 😎 🕶
夫人	夫人 🤶
失去	失去 😞
失望	失望 😔 🫤 😥 😞 👎 🙍 🙍‍♂️ 🙍‍♀️ 🙎 🙎‍♂️ 🙎‍♀️
失望的脸	失望的脸 😞
失败	失败 😔 😞 😩 ⛔
头	头 😶‍🌫️ 🙂‍↕️ 👲
头上缠着绷带	头上缠着绷带 🤕
头发	头发 👱‍♀️ 👱‍♂️ 💇 💇‍♂️ 💇‍♀️ 🦰 🦱 🦳 🦲 🪮
头巾	头巾 👳 👳‍♂️ 👳‍♀️ 🧕 🪆
头晕	头晕 🥴 😵 😵‍💫
头晕目眩	头晕目眩 🥴
头水平摇晃	头水平摇晃 🙂‍↔️
头痛	头痛 😣 😓 💆 💆‍♂️ 💆‍♀️
头盔	头盔 💂 💂‍♂️ 💂‍♀️ 🪖 ⛑
头纱	头纱 🧕
头绷带	头绷带 🤕
头部	头部 🙂‍↔️ 🤯 🧕 🗣
头部垂直摇动	头部垂直摇动 🙂‍↕️
头骨	头骨 💀 ☠ 🩻
夹克	夹克 🥼 🧥
夹具	夹具 🗜
夹钳	夹钳 🗜
奇怪的	奇怪的 😒
奇迹	奇迹 💭
奔跑	奔跑 🏃 🏃‍♂️ 🏃‍♀️ 🏃‍➡️ 🏃‍♀️‍➡️ 🏃‍♂️‍➡️
奔跑的人	奔跑的人 🏃
奖品	奖品 🏆
奖杯	奖杯 🏆
奖牌	奖牌 🏅 🥇 🥈 🥉
奖章	奖章 🎖
奖项	奖项 🎖 🏅
套娃	套娃 🪆
套装	套装 ♥ ♣ 🩱 🩲 🩳 👙
奢华	奢华 🧖 🧖‍♂️ 🧖‍♀️
奥伯龙	奥伯龙 🧚‍♂️
奥兰群岛	奥兰群岛 🇦🇽
奥地利	奥地利 🇦🇹
奥登	奥登 🍢
